state,sanders_avg,clinton_avg,trump_avg,cruz_avg,kasich_avg
AK,0.24255689081729934,0.09532497237389495,0.01856785729762524,0.126654587016814,0.007751560062402496
AL,0.029858126573504437,0.09664749117047018,0.006672918322964557,0.10074717342882117,0.007836008346609443
AR,0.04624943758050154,0.27147910284184695,0.0036804261897438856,0.08039774642704127,0.004811960496997519
AZ,0.10751315489820323,0.12419508015814143,0.008276051853636425,0.09656368092570881,0.009142121523447712
CA,0.2416541796158051,0.6672082838653126,0.0063361290886574054,0.09962556091076985,0.024123120715492916
CO,0.19368047972958857,0.46933507178680245,0.009531729982952673,0.12146358319341037,0.01573817197384293
CT,0.17660098928231083,0.6120674897504405,0.00563981145600278,0.06035390708588354,0.0402747399945306
DC,0.5118191744467651,7.855164706022362,0.009584798609995419,0.15900142511171805,0.11316249843802996
DE,0.06448316690170773,0.14959892550643067,0.004295838821735978,0.06820983282131735,0.011945865144925544
FL,0.07745693116840423,0.3699024308884021,0.012575186697706981,0.10896884073184948,0.025068795386890372
GA,0.05034437378485853,0.165995699402635,0.007254046555704142,0.0816394967723493,0.010963145848303353
HI,0.18214743193469138,0.1150513375565712,0.008123585938280374,0.058896914856982,0.003876773099804904
IA,0.09982420046230688,0.1376492837956669,0.009552354285461855,0.0970838205716638,0.0125759507589714
ID,0.07751690403823727,0.054678270380016075,0.005858501568042153,0.12297076009257189,0.009451155033747652
IL,0.12516608598992457,0.41173948434661134,0.004403093469320944,0.06539948888005011,0.028186247350796015
IN,0.05120422588403065,0.10661261873685737,0.0034827861769753223,0.0627060779373021,0.008347231286104465
KS,0.06936673168155003,0.10327987894111945,0.005096459350586147,0.10871392455319868,0.008432701696397324
KY,0.050981288072654764,0.08774365369126788,0.005445491302779693,0.041044511616933614,0.016679879197991816
LA,0.03523167928569532,0.16161871692696894,0.007951707272791113,0.10655485530722861,0.010638821732990432
MA,0.3974437501821347,0.7157923411292382,0.01009292917042833,0.04379763282292445,0.037963199813023096
MD,0.15656128187245574,0.7389940282042441,0.005084034515844014,0.06561767521016329,0.01855936691539576
ME,0.2584288753415259,0.2389776262893733,0.0028069445614626338,0.03698583043462562,0.007922047831686386
MI,0.08567985369928131,0.15021027704902434,0.0032706819277574695,0.06357297540477393,0.029998963978708753
MN,0.12814972291211335,0.24188190237748,0.0025942355664189372,0.06233666278416946,0.00966373833839078
MO,0.06161984735534723,0.25209857138912156,0.003438148867986308,0.1026622819244693,0.00836550688465782
MS,0.019064819991625265,0.05877143018507633,0.006731580342161117,0.06337381902348435,0.025671273885627035
MT,0.14115870193010496,0.09069602661893278,0.005048806862681507,0.15261450468512966,0.013940668900400698
NC,0.07620664432097735,0.16024883095375175,0.003956999251802435,0.06284632117610205,0.007730511863123459
ND,0.048659844344302684,0.03959149297092058,0.0037051789670602318,0.07887814809089912,0.007511952936016287
NE,0.060273184649217645,0.16326129765477088,0.007881098413133704,0.07172066090423428,0.0025841292275563103
NH,0.3827068302610536,0.28467061674061783,0.013333791770378653,0.0995096076380121,0.06889933023099215
NJ,0.10229638425396347,0.366507748984066,0.005967530969200424,0.06744892310381777,0.009325170660055974
NM,0.2563130704437993,0.32457103681390276,0.0028574141687556865,0.14380535981572184,0.01085171086979146
NV,0.1106014850329229,0.2844706755291273,0.01665715041795738,0.12315608412073287,0.008978689621892562
NY,0.19039778506451194,1.4678983567769532,0.007917252207805184,0.056480712490852215,0.027141628238043128
OH,0.053364105483800946,0.13172067184670702,0.003934723638327821,0.06568940268515149,0.34030308290673644
OK,0.05215776289341397,0.2337736319387381,0.0060610589010717045,0.1355499141214592,0.006852130907633143
OR,0.3249911900713258,0.19965643884291223,0.0044243439463665345,0.08265750089911161,0.007191651875898025
PA,0.08645353178202732,0.25043198740121364,0.004709078373189992,0.06670919116363418,0.027153975281239924
RI,0.16552221058829988,0.5594565170056178,0.005270681190345906,0.03690246502407465,0.015525921662258189
SC,0.0455914652054902,0.1681744968389423,0.008753975065286043,0.10211432624762416,0.011938369484896896
SD,0.06365273527640486,0.06004739833354495,0.005215470797431241,0.08802006828435273,0.007717226830555326
TN,0.05441980583000861,0.15006823175737946,0.010396154780260711,0.10477286710799011,0.020723606612367107
TX,0.05958034904220063,0.2510887493495422,0.009849929269651727,0.6499412511084267,0.012144985819346048
UT,0.07220895157712875,0.11363190727119124,0.003855708381968938,0.08763206882429064,0.013131529924540683
VA,0.11185017212826015,0.46714752475637283,0.007398438719917814,0.11256598806655332,0.03247933047301841
VT,2.1771294098479017,0.20240483865299772,0.0013710741451851474,0.0616477967931864,0.007507483523469671
WA,0.3601086655311574,0.2769993212326705,0.005814080789071553,0.10236941399381982,0.007610924486123482
WI,0.10383993345042924,0.11628432371909664,0.00350550660964695,0.03899588258318653,0.005083917296806615
WV,0.0564563251574728,0.07881179614430235,0.0038137970900067675,0.07530465889569488,0.01161578805809575
WY,0.07976417275343921,0.10898873413898827,0.01092237424224587,0.22413484227282732,0.029346177404467103
