state,sanders,clinton,trump,cruz,kasich
AIS,0.0,0.0,0.0,0.0,0.0
AK,179111.77,70391.01,13711.1,93525.8,5724.0
AL,145080.01,469608.13,32423.57,489528.4,38075.0
AR,137740.26,808520.15,10961.06,239440.89,14331.0
AZ,734106.81,848012.08,56509.42,659343.09,62423.0
CA,9459508.88,26117746.84,248026.62,3899824.45,944295.17
CO,1056831.87,2560961.55,52010.59,662775.03,85876.5
CT,634154.02,2197864.58,20251.92,216724.0,144622.0
DC,344059.18,5280461.66,6443.17,106885.21,76071.0
DE,60996.82,141510.71,4063.58,64522.0,11300.0
FL,1570150.52,7498392.79,254915.03,2208937.01,508176.37
GA,514260.73,1695622.83,74099.07,833936.03,111987.0
HI,260762.81,164707.84,11629.75,84317.0,5550.0
IA,311840.72,430002.46,29840.59,303280.05,39286.0
ID,128285.05,90488.71,9695.41,203508.0,15641.0
IL,1609635.24,5294967.71,56623.76,841037.1,362475.0
IN,338955.59,705741.42,23054.93,415094.17,55256.0
KS,201971.02,300713.93,14839.06,316535.92,24553.0
KY,225596.89,388273.74,24096.8,181625.74,73810.0
LA,164557.45,754876.42,37140.23,497688.32,49691.0
MA,2700400.56,4863395.23,68575.62,297579.6,257938.0
MD,940369.84,4438694.47,30536.75,394126.07,111475.0
ME,343536.74,317679.65,3731.35,49166.3,10531.0
MI,850164.86,1490472.89,32453.59,630807.68,297667.0
MN,703489.95,1327833.44,14241.3,342202.97,53050.0
MO,374874.94,1533685.02,20916.57,624563.65,50893.0
MS,57048.29,175863.69,20143.13,189635.57,76817.0
MT,145809.74,93684.37,5215.16,157643.0,14400.0
NC,765328.24,1609347.28,39739.36,631153.16,77636.0
ND,36831.95,29967.87,2804.55,59705.0,5686.0
NE,114289.41,309574.44,14944.06,135996.0,4900.0
NH,509232.77,378785.0,17742.05,132408.28,91678.0
NJ,916372.34,3283181.18,53457.22,604208.33,83535.0
NM,534440.69,676765.99,5958.02,299849.85,22627.0
NV,319731.75,822360.63,48153.24,356025.15,25956.0
NY,3769074.76,29058209.08,156728.27,1118080.38,537290.0
OH,619739.93,1529727.88,45695.61,762878.82,3952083.65
OK,204006.64,914367.69,23706.85,530181.53,26801.0
OR,1309382.03,804411.2,17825.58,333025.17,28975.0
PA,1106821.6,3206156.27,60287.99,854044.62,347638.85
RI,174840.78,590952.8,5567.41,38980.0,16400.0
SC,223222.47,823406.89,42860.74,499966.65,58452.0
SD,54643.9,51548.83,4477.32,75562.5,6625.0
TN,359186.99,990495.2,68617.73,691532.25,136782.0
TX,1636619.4,6897185.48,270568.83,17853310.32,333612.0
UT,216332.17,340431.99,11551.39,262538.58,39341.0
VA,937639.21,3916094.43,62021.06,943639.89,272274.0
VT,1362974.45,126713.93,858.35,38594.11,4700.0
WA,2582105.53,1986182.36,41689.0,734024.63,54573.0
WI,599295.25,671116.02,20231.46,225058.38,29341.0
WV,104112.69,145339.04,7033.13,138871.43,21421.0
WY,46750.34,63879.06,6401.68,131367.0,17200.0
